title,release.name,artist.name,terms,year
I Didn't Mean To,Fear Itself,Casual,hip hop,0
Soul Deep,Dimensions,The Box Tops,blue-eyed soul,1969
Amor De Cabaret,Las Numero 1 De La Sonora Santanera,Sonora Santanera,salsa,0
Something Girls,Friend Or Foe,Adam Ant,pop rock,1982
Face the Ashes,Muertos Vivos,Gob,pop punk,2007
The Moon And I (Ordinary Day Album Version),Ordinary Day,Jeff And Sheri Easter,southern gospel,0
Keepin It Real (Skit),Da Ghetto Psychic,Rated R,breakbeat,0
Drop of Rain,Gin & Phonic,Tweeterfriendly Music,post-hardcore,0
Pink World,Pink World,Planet P Project,new wave,1984
Insatiable (Instrumental Version),Superinstrumental,Clp,breakcore,0
Young Boy Blues,I Need You,JennyAnyKind,alternative rock,0
The Urgency (LP Version),The Way Home,Wayne Watson,ccm,0
La Culpa,Placer & Castigo,Andy Andy,bachata,0
Auguri Cha Cha,Arrivederci,Bob Azzam,chanson,0
Tonight Will Be Alright,Dancing On The Ceiling,Lionel Richie,quiet storm,1986
Floating,Outskirts,Blue Rodeo,country rock,1987
High Tide,Cross Currents,Richard Souther,chill-out,0
Sohna Nee Sohna Data,Panjtan Ka Ghulam,Faiz Ali Faiz,qawwali,0
Caught In A Dream,Gold,Tesla,hard rock,2004
Synthetic Dream,Whatever Happened To Boredom?,lextrical,indietronica,0
Broken-Down Merry-Go-Round,1942-1952 Jimmy Wakely,Jimmy Wakely,classic country,0
Kassie Jones,All The Good Times,Alice Stuart,electric blues,0
Setanta matins,Un cafe_ setanta matins,Elena,uk garage,0
Setting Fire to Sleeping Giants,Miss Machine,The Dillinger Escape Plan,math-core,2004
James (Hold The Ladder Steady),Sue Thompson - Her Very Best,SUE THOMPSON,pop rock,1985
Made Like This (Live),Live,Five Bolt Main,post-grunge,0
Superconfidential,Strictly Confidential,Clp,breakcore,0
I Think My Wife Is Running Around On Me (Taco Hell),The Real Twang Thang,Tim Wilson,filk,2005
Spanish Grease,Willie Bobo's Finest Hour,Willie Bobo,latin jazz,1997
Crazy Mixed Up World,Shake A Hand,Faye Adams,jump blues,1961
Do You Finally Need A Friend,Occasional Rain,Terry Callier,soul jazz,1972
The Emperor Falls,The Emperor Falls,John Wesley,disco,0
Twist and Shout,Best of The Shangri-Las,The Shangri-Las,doo-wop,1964
It Makes No Difference Now,20 Of Her Best,Billie Jo Spears,classic country,1992
Laws Patrolling (Album Version),Who Is Mike Jones?,Mike Jones (Featuring CJ_ Mello & Lil' Bran),rap,0
A?DA3nde va Chichi?,Tibiri Tabara,Sierra Maestra,charanga,1997
Barking Dogs (From "Piouhgd"),Piouhgd + Widowermaker!,Butthole Surfers,noise rock,0
OUTE ENA EFHARISTO,Profities,Despina Vandi,dance pop,0
Midnight Swim,Cracks,Javier Navarrete,orchestra,0
In A Subtle Way,Pieces Of Time,Jacob Young,cool jazz,0
Spin,The Palest Grey,Scarlet's Remains,gothic metal,2007
Burning In The Aftermath,A Match & Some Gasoline,The Suicide Machines,ska punk,2003
Angie (1993 Digital Remaster),Jump Back - The Best Of The Rolling Stones_ '71-'93,The Rolling Stones,blues,0
Sabor Guajiro,Lo Mejor con La Orq. Broadway,Roberto Torres,salsa,0
Human Cannonball,Grown Man,Loudon Wainwright III,modern rock,1995
Glory Be,A Bothered Mind,R.L. Burnside,delta blues,2004
Crossfire,Greatest Hits,Stevie Ray Vaughan,texas blues,1992
I Can't Be Satisfied,Bluesman,John Hammond,blues,2002
Nashville Parthenon,Etiquette,Casiotone For The Painfully Alone,trip hop,2006
Cocain Ducks,Ec8or,Ec8or,hardcore techno,1995
Human Being,Too Much Too Soon,The New York Dolls,glam rock,1974
The More I See You,Bossa Nova Stories,Eliane Elias,brazilian jazz,2009
Certain Things We Do,Love_ Peace & Nappiness,Lost Boyz,gangster rap,1997
Forming,Germicide,The Germs,rock,1977
MafuA!,MafuA!,Yamandu Costa,brazilian jazz,0
Driving Home For Christmas,The Road To Hell Part 2,Chris Rea,soft rock,1986
Spooks In Space,Vanguard Visionaries,Perrey And Kingsley,easy listening,1966
Tous Les GarASSons Et Les Filles,Be Yourself Tonight,Eurythmics,dance rock,1985
Too Much Saturn,Hometown 2001,Francis Dunnery,singer-songwriter,1995
Movement 4 [from Kiss] (Album Version),Eat / Kiss: Music For The Films By Andy Warhol,John Cale,experimental rock,1997
